target,modelo,mae,rmse,r2
PM2_5_next_hour,ada_stumps,14.813139137199649,15.901829170585579,-2.188756054678523
PM2_5_next_hour,ada_profundo,3.497770084333697,5.496956402955888,0.6189589949194039
PM2_5_next_hour,gbr_estandar,3.2553465647930255,4.942206403939041,0.6919871131359963
PM2_5_next_hour,gbr_shrinkage,3.361647233735932,4.951127299646347,0.6908741564847264
PM2_5_next_hour,gbr_early,3.139827381005951,5.0690174324395825,0.6759778506410427
PM2_5_next_hour,gbr_stochastic,3.0349921792643535,4.771029660623336,0.7129540907845348
PM2_5_next_hour,hist_gbrt,3.980462594554487,5.442471904721356,0.6264751323268236
PM2_5_next_hour,voting_simple,3.4049087507508276,4.888268697160399,0.698673540244069
PM2_5_next_hour,stacking_nivel1,3.5624892560540284,5.357004835363853,0.6381144803696508
PM2_5_next_hour,stacking_nivel2,4.085396380761192,5.560077956151459,0.6101577630052071
PM10_next_hour,ada_stumps,12.434966621636821,15.675636971178863,0.10900799458731758
PM10_next_hour,ada_profundo,6.1562892730574506,10.97269957719533,0.5634335166595195
PM10_next_hour,gbr_estandar,7.361938956874545,10.716605912806475,0.583573907450087
PM10_next_hour,gbr_shrinkage,8.80156555128807,12.237962761806314,0.45694768720913115
PM10_next_hour,gbr_early,6.925931252359637,10.425537595107238,0.605887390385555
PM10_next_hour,gbr_stochastic,8.977986001377914,12.084620419173074,0.4704713771147879
PM10_next_hour,hist_gbrt,5.732997858302679,10.441089000337955,0.6047107458139966
PM10_next_hour,voting_simple,6.441402819827802,10.148171235469068,0.6265787862021546
PM10_next_hour,stacking_nivel1,6.947042499273702,14.425726627390077,0.24543126130651205
PM10_next_hour,stacking_nivel2,11.008550063827728,15.566423054385238,0.12138002725526664
SO2_next_hour,ada_stumps,148.62400079469532,462.19540902025176,-18.17841670113536
SO2_next_hour,ada_profundo,289.2097611943111,410.37062653549003,-14.118685419508358
SO2_next_hour,gbr_estandar,321.45251533227906,505.5644770849462,-21.946402023346938
SO2_next_hour,gbr_shrinkage,303.6734997461004,489.0776364651919,-20.474205529810252
SO2_next_hour,gbr_early,172.6802658879189,193.65237997513518,-2.3667213536581726
SO2_next_hour,gbr_stochastic,456.6778818169956,742.3209980776545,-48.470350480891206
SO2_next_hour,hist_gbrt,66.94441218869292,126.38246821441324,-0.4339538074503413
SO2_next_hour,voting_simple,214.33732685336895,342.93858743484657,-9.558305044835608
SO2_next_hour,stacking_nivel1,1226.2365252266097,3883.5136944777064,-1352.9766594721466
SO2_next_hour,stacking_nivel2,66.64427706216063,94.5016743747853,0.19824716792259134
NO2_next_hour,ada_stumps,16.287188793158716,17.257554431050487,0.5389129207872939
NO2_next_hour,ada_profundo,3.4357776588289646,5.062276873014768,0.960325063739689
NO2_next_hour,gbr_estandar,3.1507389957815573,4.431536780716084,0.9695958290936422
NO2_next_hour,gbr_shrinkage,3.3208116991471375,4.535781814188552,0.968148582881153
NO2_next_hour,gbr_early,3.3489644992685013,4.603694140904731,0.9671876471259895
NO2_next_hour,gbr_stochastic,2.8340554331403958,4.048339468808981,0.9746266217355962
NO2_next_hour,hist_gbrt,3.072522318346912,4.403794265211126,0.9699753127816474
NO2_next_hour,voting_simple,2.920605891100123,4.301466260350554,0.971354428563098
NO2_next_hour,stacking_nivel1,2.472856335240751,4.050526445342571,0.9745992001362863
NO2_next_hour,stacking_nivel2,3.1315242515468174,4.938054437339883,0.9622483276288881
O3_next_hour,ada_stumps,10.032968511581577,10.510866811614788,-2.6773858898335843
O3_next_hour,ada_profundo,1.389041189508207,2.7478398196361558,0.7486696333251657
O3_next_hour,gbr_estandar,1.831230332178136,2.845309392370422,0.7305233533530318
O3_next_hour,gbr_shrinkage,1.5242247873169497,2.500926487828905,0.7918080217111505
O3_next_hour,gbr_early,1.3574430918636682,2.401029811543835,0.8081078343919423
O3_next_hour,gbr_stochastic,2.9207726397560925,4.234798651321322,0.40306413674619634
O3_next_hour,hist_gbrt,1.6072378607563136,2.788915158854591,0.7410995858533764
O3_next_hour,voting_simple,1.6153205532960704,2.6222509269729724,0.7711185297056399
O3_next_hour,stacking_nivel1,1.6354282549438481,2.9511310188666853,0.7101060704033824
O3_next_hour,stacking_nivel2,2.0871664853009375,3.4234280754983457,0.6098922704996244
CO_next_hour,ada_stumps,434.6860786433075,557.6832863837217,0.7533868012222272
CO_next_hour,ada_profundo,291.95187666833823,391.1510644355323,0.8786806454063676
CO_next_hour,gbr_estandar,148.2728042745268,251.51652810962128,0.9498380839123896
CO_next_hour,gbr_shrinkage,145.15401679364075,249.54388062415234,0.9506218394637346
CO_next_hour,gbr_early,184.47149017673544,270.17850616607956,0.9421181170569567
CO_next_hour,gbr_stochastic,186.3020356420196,299.2964934352666,0.9289695909451143
CO_next_hour,hist_gbrt,152.87997666232775,240.00092827995542,0.9543262257105557
CO_next_hour,voting_simple,131.51296057045366,229.4629008860238,0.9582490830833951
CO_next_hour,stacking_nivel1,205.23444499539113,321.7383933740454,0.9179182067410471
CO_next_hour,stacking_nivel2,181.8500647809983,287.7956566777495,0.9343235712724312
